   Run Number          Y_Requested       Y_Moved           X_Requested      X_Moved      Average_Intensity_M4    Average_Intensity_M1        
      4204            -22111            -22111            -25242            -25242        -0.0007675545467        -1.80973948
      4205            -22111            -22111            -26817            -26817        -0.00076271758        -1.812476234
      4206            -22111            -22111            -28392            -28392        -0.0007672545202        -1.812429505
      4207            -23686            -23686             -3192             -3192        -0.0007659467752        -1.802915924
      4208            -23686            -23686             -4767             -4767        -0.0007700174237        -1.801610139
      4209            -23686            -23686             -6342             -6342        -0.0007677206655        -1.806370768
      4210            -23686            -23686             -7917             -7917        -0.0007663248282        -1.809443067
      4211            -23686            -23686             -9492             -9492        -0.0007617072856        -1.808877846
      4212            -23686            -23686            -11067            -11067        -0.0007613842753        -1.812366235
      4213            -23686            -23686            -12642            -12642        -0.0007620776861        -1.809904501
      4214            -23686            -23686            -14217            -14217        -0.0007715285297        -1.812632605
      4215                 0            -23686                 0            -14217        -0.2976899787        -1.759820411
      4216            -18961            -18961             -3192             -3192        -0.00911652564        -1.817079555
      4217            -18961            -18961             -4767             -4767        -0.01517720185        -1.784096747
      4218            -18961            -18961             -6342             -6342        -0.05407570711        -1.819926144
      4219            -18961            -18961             -7917             -7917        -0.1433273673        -1.811242489
      4220            -18961            -18961             -9492             -9492        -0.2533641007        -1.813691868
      4221            -18961            -18961            -11067            -11067        -0.2990702058        -1.811604281
      4222            -18961            -18961            -12642            -12642        -0.3047256761        -1.823160387
      4223            -18961            -18961            -14217            -14217        -0.3085493639        -1.814041681
      4224            -18961            -18961            -15792            -15792        -0.2891921386        -1.694004022
      4225            -18961            -18961            -17367            -17367        -0.3071429386        -1.815216599
      4226            -18961            -18961            -18942            -18942        -0.3132162427        -1.822157613
      4227            -18961            -18961            -20517            -20517        -0.3189026875        -1.821504061
      4228            -18961            -18961            -22092            -22092        -0.2804077517        -1.818876125
      4229            -18961            -18961            -23667            -23667        -0.1536511957        -1.817241466
      4230            -18961            -18961            -25242            -25242        -0.05024202806        -1.828012813
      4231            -18961            -18961            -26817            -26817        -0.01047405426        -1.824433142
      4232            -18961            -18961            -28392            -28392        -0.008511886537        -1.813575811
      4233             -4786             -4786             -3192             -3192        -0.008048575002        -1.818658614
      4234             -4786             -4786             -4767             -4767        -0.00818836899        -1.820299833
      4235             -4786             -4786             -6342             -6342        -0.00851985702        -1.820343418
      4236             -4786             -4786             -7917             -7917        -0.009012405972        -1.825598907
      4237             -4786             -4786             -9492             -9492        -0.009464319324        -1.817284752
      4238             -4786             -4786            -11067            -11067        -0.009721421642        -1.817623023
      4239             -4786             -4786            -12642            -12642        -0.009785193119        -1.822001558
      4240             -4786             -4786            -14217            -14217        -0.00983217318        -1.817955632
      4241             -4786             -4786            -15792            -15792        -0.009860545769        -1.819714096
      4242             -4786             -4786            -17367            -17367        -0.009819521692        -1.811394105
      4243             -4786             -4786            -18942            -18942        -0.009786334807        -1.810485902
      4244             -4786             -4786            -20517            -20517        -0.009655119552        -1.8144563
      4245             -4786             -4786            -22092            -22092        -0.00931379489        -1.816989848
      4246             -4786             -4786            -23667            -23667        -0.008775578904        -1.815306321
      4247             -4786             -4786            -25242            -25242        -0.008311015886        -1.806966659
      4248             -4786             -4786            -26817            -26817        -0.008065626318        -1.817577774
      4249             -4786             -4786            -28392            -28392        -0.008004020507        -1.828265434
      4250             -6361             -6361             -3192             -3192        -0.008162203754        -1.826728753
      4251             -6361             -6361             -4767             -4767        -0.008567436266        -1.8256898
      4252             -6361             -6361             -6342             -6342        -0.01008868569        -1.81986896
      4253             -6361             -6361             -7917             -7917        -0.01343308112        -1.814806792
      4254             -6361             -6361             -9492             -9492        -0.01699254269        -1.81753221
      4255             -6361             -6361            -11067            -11067        -0.01846858537        -1.82506078
      4256             -6361             -6361            -12642            -12642        -0.01849028036        -1.813309345
      4257             -6361             -6361            -14217            -14217        -0.01877957622        -1.817567465
      4258             -6361             -6361            -15792            -15792        -0.01904154611        -1.814278276
      4259             -6361             -6361            -17367            -17367        -0.01916775186        -1.816720462
      4260             -6361             -6361            -18942            -18942        -0.01929705369        -1.814783117
      4261             -6361             -6361            -20517            -20517        -0.01906554594        -1.814731506
      4262             -6361             -6361            -22092            -22092        -0.01700130387        -1.81334013
      4263             -6361             -6361            -23667            -23667        -0.01294019359        -1.800962974
      4264             -6361             -6361            -25242            -25242        -0.009577756272        -1.814371033
      4265             -6361             -6361            -26817            -26817        -0.008197876287        -1.823297567
      4266             -6361             -6361            -28392            -28392        -0.008027624789        -1.824937478
      4267             -7936             -7936             -3192             -3192        -0.008333641913        -1.816912013
      4268             -7936             -7936             -4767             -4767        -0.009480103686        -1.81554824
      4269             -7936             -7936             -6342             -6342        -0.01724920514        -1.8224095
      4270             -7936             -7936             -7917             -7917        -0.03847084695        -1.820017512
      4271             -7936             -7936             -9492             -9492        -0.06114339308        -1.82155409
      4272             -7936             -7936            -11067            -11067        -0.06948812044        -1.818200293
      4273             -7936             -7936            -12642            -12642        -0.06892166984        -1.816572346
      4274             -7936             -7936            -14217            -14217        -0.06937565624        -1.814957337
      4275             -7936             -7936            -15792            -15792        -0.07009469729        -1.816648731
      4276             -7936             -7936            -17367            -17367        -0.07044664918        -1.818047003
      4277             -7936             -7936            -18942            -18942        -0.07193174163        -1.818770144
      4278             -7936             -7936            -20517            -20517        -0.07131848323        -1.816542661
      4279             -7936             -7936            -22092            -22092        -0.06097330322        -1.818298555
      4280             -7936             -7936            -23667            -23667        -0.03652875813        -1.820707961
      4281             -7936             -7936            -25242            -25242        -0.01601306046        -1.818550103
      4282             -7936             -7936            -26817            -26817        -0.00844869844        -1.813677163
      4283             -7936             -7936            -28392            -28392        -0.008109386471        -1.822571268
      4284             -9511             -9511             -3192             -3192        -0.008596544289        -1.819466064
      4285             -9511             -9511             -4767             -4767        -0.01098301647        -1.816786602
      4286             -9511             -9511             -6342             -6342        -0.03124153761        -1.819876966
      4287             -9511             -9511             -7917             -7917        -0.08677071011        -1.815917884
      4288             -9511             -9511             -9492             -9492        -0.1472605554        -1.820233872
      4289             -9511             -9511            -11067            -11067        -0.170047401        -1.817916879
      4290             -9511             -9511            -12642            -12642        -0.168954317        -1.822616103
      4291             -9511             -9511            -14217            -14217        -0.1681058024        -1.819944718
      4292             -9511             -9511            -15792            -15792        -0.1670018815        -1.806079037
      4293             -9511             -9511            -17367            -17367        -0.1680103723        -1.813590535
      4294             -9511             -9511            -18942            -18942        -0.1722194167        -1.819071008
      4295             -9511             -9511            -20517            -20517        -0.1708350213        -1.815228372
      4296             -9511             -9511            -22092            -22092        -0.1460077201        -1.817022322
      4297             -9511             -9511            -23667            -23667        -0.08149800572        -1.812937235
      4298             -9511             -9511            -25242            -25242        -0.02810070943        -1.815881873
      4299             -9511             -9511            -26817            -26817        -0.008830019023        -1.813505908
      4300             -9511             -9511            -28392            -28392        -0.008190489005        -1.82196267
      4301            -11086            -11086             -3192             -3192        -0.008805546971        -1.824613899
      4302            -11086            -11086             -4767             -4767        -0.01237255034        -1.813983463
      4303            -11086            -11086             -6342             -6342        -0.04344513898        -1.814543869
      4304            -11086            -11086             -7917             -7917        -0.1264574691        -1.81340678
      4305            -11086            -11086             -9492             -9492        -0.218737469        -1.812475061
      4306            -11086            -11086            -11067            -11067        -0.2561248841        -1.816413997
      4307            -11086            -11086            -12642            -12642        -0.2568836202        -1.83359827
      4308            -11086            -11086            -14217            -14217        -0.2539766928        -1.822681363
      4309            -11086            -11086            -15792            -15792        -0.2532620575        -1.816630324
      4310            -11086            -11086            -17367            -17367        -0.254199165        -1.8223904
      4311            -11086            -11086            -18942            -18942        -0.2574510159        -1.808259393
      4312            -11086            -11086            -20517            -20517        -0.2577967351        -1.816944162
      4313            -11086            -11086            -22092            -22092        -0.2221905133        -1.826041588
      4314            -11086            -11086            -23667            -23667        -0.1209391618        -1.812950991
      4315            -11086            -11086            -25242            -25242        -0.03882275401        -1.812886871
      4316            -11086            -11086            -26817            -26817        -0.009194506393         -1.809913
      4317            -11086            -11086            -28392            -28392        -0.008264844931        -1.815245368
      4318            -12661            -12661             -3192             -3192        -0.008962297004        -1.821576486
      4319            -12661            -12661             -4767             -4767        -0.01350807252        -1.816650942
      4320            -12661            -12661             -6342             -6342        -0.04989751713        -1.816429696
      4321            -12661            -12661             -7917             -7917        -0.1433658327        -1.810779262
      4322            -12661            -12661             -9492             -9492        -0.2509654125        -1.815811502
      4323            -12661            -12661            -11067            -11067        -0.2943540005        -1.804186809
