Date & Time               Run Number
2014-12-16-13-29-55          4099
2014-12-16-13-30-11          4100
2014-12-16-13-30-28          4101
2014-12-16-13-30-45          4102
2014-12-16-13-31-01          4103
2014-12-16-13-31-18          4104
2014-12-16-13-31-53          4105
2014-12-16-13-32-10          4106
2014-12-16-13-32-26          4107
2014-12-16-13-32-43          4108
2014-12-16-13-32-59          4109
2014-12-16-13-33-16          4110
2014-12-16-13-33-33          4111
2014-12-16-13-33-49          4112
2014-12-16-13-34-06          4113
2014-12-16-13-34-22          4114
2014-12-16-13-34-39          4115
2014-12-16-13-34-56          4116
2014-12-16-13-35-13          4117
2014-12-16-13-35-29          4118
2014-12-16-13-35-46          4119
2014-12-16-13-36-02          4120
2014-12-16-13-36-19          4121
2014-12-16-13-36-54          4122
2014-12-16-13-37-11          4123
2014-12-16-13-37-28          4124
2014-12-16-13-37-44          4125
2014-12-16-13-38-01          4126
2014-12-16-13-38-18          4127
2014-12-16-13-38-34          4128
2014-12-16-13-38-51          4129
2014-12-16-13-39-08          4130
2014-12-16-13-39-24          4131
2014-12-16-13-39-41          4132
2014-12-16-13-39-58          4133
2014-12-16-13-40-14          4134
2014-12-16-13-40-31          4135
2014-12-16-13-40-48          4136
2014-12-16-13-41-04          4137
2014-12-16-13-41-21          4138
2014-12-16-13-41-57          4139
2014-12-16-13-42-13          4140
2014-12-16-13-42-30          4141
2014-12-16-13-42-47          4142
2014-12-16-13-43-04          4143
2014-12-16-13-43-20          4144
2014-12-16-13-43-37          4145
2014-12-16-13-43-53          4146
2014-12-16-13-44-10          4147
2014-12-16-13-44-27          4148
2014-12-16-13-44-43          4149
2014-12-16-13-45-00          4150
2014-12-16-13-45-17          4151
2014-12-16-13-45-34          4152
2014-12-16-13-45-50          4153
2014-12-16-13-46-07          4154
2014-12-16-13-46-24          4155
2014-12-16-13-46-59          4156
2014-12-16-13-47-16          4157
2014-12-16-13-47-32          4158
2014-12-16-13-47-49          4159
2014-12-16-13-48-06          4160
2014-12-16-13-48-23          4161
2014-12-16-13-48-40          4162
2014-12-16-13-48-56          4163
2014-12-16-13-49-13          4164
2014-12-16-13-49-30          4165
2014-12-16-13-49-46          4166
2014-12-16-13-50-03          4167
2014-12-16-13-50-20          4168
2014-12-16-13-50-36          4169
2014-12-16-13-50-53          4170
2014-12-16-13-51-10          4171
2014-12-16-13-51-26          4172
2014-12-16-13-52-02          4173
2014-12-16-13-52-19          4174
2014-12-16-13-52-36          4175
2014-12-16-13-52-52          4176
2014-12-16-13-53-09          4177
2014-12-16-13-53-25          4178
2014-12-16-13-53-42          4179
2014-12-16-13-53-59          4180
2014-12-16-13-54-15          4181
2014-12-16-13-54-32          4182
2014-12-16-13-54-48          4183
2014-12-16-13-55-05          4184
2014-12-16-13-55-22          4185
2014-12-16-13-55-38          4186
2014-12-16-13-55-55          4187
2014-12-16-13-56-11          4188
2014-12-16-13-56-28          4189
2014-12-16-13-57-04          4190
2014-12-16-13-57-20          4191
2014-12-16-13-57-37          4192
2014-12-16-13-57-54          4193
2014-12-16-13-58-11          4194
2014-12-16-13-58-27          4195
2014-12-16-13-58-44          4196
2014-12-16-13-59-00          4197
2014-12-16-13-59-17          4198
